record_id1	record_id2	latitude	longitude	altitude_m	capture_hour	capture_minute	common_name	alpha4	genus	species	subspecies	gen_species	alpha6	indvid_id	band_pre	band_suff	Sex	age_class	age_year	mass_g	fat_score	Include	time_b1_min	time_b2_min	time_b3_min	time_b4_min	time_b5_min	time_b6_min	time_b7_min	b1_cort	b2_cort	b3_cort	b4_cort	b5_cort	b6_cort	b7_cort	base_cort	max_cort	time_to_max	day	month	year	date	doy	season	breed_state
1003638	2943	-54.93333	-67.61667	14.32563	8	2	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFS-1		3282	male	AHY		23	1		1.5	5	10	30	60			5.16	45.62	82.65	115.55	87.16			5.16	115.55	30	16	10	2005	10/16/05	289		
1003643	2948	-54.93333	-67.61667	14.32563	8	3	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFS-2		3283	male	AHY		22.5	1		2	5	10	30	60			10.04	27.43	80.03	66.37	73.2			10.04	80.03	10	16	10	2005	10/16/05	289		
1003631	2936	-54.93333	-67.61667	14.32563	8	8	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-3		3281	male	AHY		22.8	1.5		1	5	10	30	60			10.49	46.1	49.31	100.99	92.03			10.49	100.99	30	16	10	2005	10/16/05	289		
1003632	2937	-54.93333	-67.61667	14.32563	8	8	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-4		3284	female	AHY		21.7	1.5		2	5	10	30	60			4.3	22.55	35.77	25.87	57.1			4.3	57.1	60	16	10	2005	10/16/05	289		
1003633	2938	-54.93333	-67.61667	14.32563	9	44	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-5		3285	male	AHY		23.2	0.5		5	10	30	60				30.71	58.86	88.55	76.53				30.71	88.55	30	16	10	2005	10/16/05	289		
1003634	2939	-54.93333	-67.61667	14.32563	10	9	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-6		3286	male	AHY		21.6	1		1	5	10	30	60			5.24	10.8	21.1	69.94	52.46			5.24	69.94	30	16	10	2005	10/16/05	289		
1003635	2940	-54.93333	-67.61667	14.32563	10	24	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-7		3287	female	AHY		22.6	1		1	5	10	30				4.02	35.64	51.52	74.5				4.02			16	10	2005	10/16/05	289		
1003636	2941	-54.93333	-67.61667	14.32563	10	44	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-8		3288	male	AHY		22.5	2		3	5	10	30	60			23.41	18.37	64.48	85.56	107.73			23.41	107.73	60	16	10	2005	10/16/05	289		
1003637	2942	-54.93333	-67.61667	14.32563	10	56	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFF-9		3289	female	AHY		22.6	2		2.5	5	10	30	60			11.64	28.6	25	72.76	93.9			11.64	93.9	60	16	10	2005	10/16/05	289		pre-breeding
1003639	2944	-54.93333	-67.61667	14.32563	12	17	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFS-10		3290	male	AHY		22.5	1.5		3	4.25	9.25	19.25	59.25			43.67	28.3	44.18	84.11	45.54			43.67	84.11	19.25	16	10	2005	10/16/05	289		
1003640	2945	-54.93333	-67.61667	14.32563	12	18	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFS-11		3291	female	AHY		23	2		2.416666667	6.583333333	11	32	60			3.38	3.28	10.52	25.65	15.37			3.38	25.65	32	16	10	2005	10/16/05	289		
1003641	2946	-54.93333	-67.61667	14.32563	14	10	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFS-12		3293	male	AHY		23.6	2.5		1	4.55	9.55	29.55	60.45			2.63	43.02	47.33	76.04	74.24			2.63	76.04	29.55	16	10	2005	10/16/05	289		
1003642	2947	-54.93333	-67.61667	14.32563	14	10	Rufous-collared Sparrow	RCOS	Zonotrichia	capensis		Zonotrichia capensis 	ZONCAP	RUFS-13		3294	female	AHY		23.5	2		1	4.55	9.55	29.55	60.45			1.9	9.5	18.98	26.16	49.64			1.9	49.64	60.45	16	10	2005	10/16/05	289		
