"latitude"	"longitude"	"altitude_m"	"date"	"doy"	"year"	"day"	"month"	"n_samples"	"site2"	"avg_T2M_MAX"	"sd_T2M_MAX"	"avg_T2M_MIN"	"sd_T2M_MIN"	"avg_T2M"	"sd_T2M"	"NASA_ELEV"
-54.93333	-67.61667	14.32563	2005-10-16	289	2005	16	10	13	"a1"	6.81653439153439	2.48876454604641	1.30804232804233	1.70651066528266	3.99910052910053	1.89471447859152	195.95
-54.81951	-35.82336	0	1993-06-08	159	1993	8	6	1	"b1"	0.281693121693122	1.63143450928801	-1.88653439153439	2.09603640099708	-0.767328042328042	1.82996963442705	50.96
-54.81951	-35.82336	0	1993-06-09	160	1993	9	6	2	"c1"	0.225529100529101	1.64335616364295	-1.97015873015873	2.11072026279853	-0.841402116402116	1.83856012517805	50.96
-54.81951	-35.82336	0	1993-06-14	165	1993	14	6	9	"d1"	-0.0357407407407407	1.78450123993006	-2.23582010582011	2.26724467079768	-1.12039682539683	2.00280681061017	50.96
-54.81951	-35.82336	0	1993-06-18	169	1993	18	6	3	"e1"	-0.0292328042328042	1.85061225621327	-2.23087301587302	2.41910170972109	-1.11404761904762	2.10439624912307	50.96
-54.81951	-35.82336	0	1993-06-21	172	1993	21	6	6	"f1"	-0.138121693121693	1.90990574739471	-2.32238095238095	2.46621826128899	-1.21851851851852	2.1400956685341	50.96
-54.81951	-35.82336	0	1993-06-23	174	1993	23	6	2	"g1"	-0.201746031746032	1.90341494562351	-2.36198412698413	2.47029643723401	-1.26386243386243	2.13588883519341	50.96
-54.48751	-37.07484	0	1993-06-08	159	1993	8	6	1	"h1"	-0.00470899470899471	1.69553291857045	-2.19706349206349	2.08958897159911	-1.0662962962963	1.85218103194737	97.53
-54.48751	-37.07484	0	1993-06-09	160	1993	9	6	18	"i1"	-0.0663227513227513	1.70440028783693	-2.27359788359788	2.0974341447873	-1.13989417989418	1.85554212928377	97.53
-54.48751	-37.07484	0	1993-06-14	165	1993	14	6	5	"j1"	-0.333068783068783	1.82028726579195	-2.55714285714286	2.23456765635714	-1.42634920634921	1.99761765398801	97.53
-54.48751	-37.07484	0	1993-06-18	169	1993	18	6	1	"k1"	-0.331481481481481	1.89509668179308	-2.59269841269841	2.37490451999562	-1.43367724867725	2.0995456048903	97.53
-54.48751	-37.07484	0	1993-06-23	174	1993	23	6	2	"l1"	-0.50462962962963	1.91134973775644	-2.76037037037037	2.39412319172529	-1.60835978835979	2.10901185145375	97.53
-54.45654	-36.29404	0	1993-06-08	159	1993	8	6	4	"m1"	-0.312301587301587	1.78755118835207	-2.68611111111111	2.16031212950939	-1.4465873015873	1.95047521762937	136.43
-54.45654	-36.29404	0	1993-06-09	160	1993	9	6	9	"n1"	-0.373306878306878	1.79634891012358	-2.76748677248677	2.16227316311331	-1.52380952380952	1.95144693259421	136.43
-54.45654	-36.29404	0	1993-06-21	172	1993	21	6	2	"o1"	-0.781402116402116	2.04547450078563	-3.22132275132275	2.48880780564375	-1.96785714285714	2.23290830104238	136.43
-54.45654	-36.29404	0	1993-06-22	173	1993	22	6	7	"p1"	-0.803915343915344	2.02203931338062	-3.21973544973545	2.49594683295889	-1.96568783068783	2.22472903673846	136.43
-54.18333	-34.9	0	1993-06-02	153	1993	2	6	1	"q1"	1.1531746031746	1.18333497892636	-0.588280423280423	1.6221426887258	0.317539682539683	1.34197646303264	0
-54.18333	-34.9	0	1993-06-14	165	1993	14	6	3	"r1"	0.594153439153439	1.39717181092097	-1.21063492063492	1.88478343964874	-0.284100529100529	1.61425163465914	0
-54	-37.96667	0	1989-07-03	184	1989	3	7	1	"s1"	0.253068783068783	1.50400018360555	-1.61970899470899	1.98229368258181	-0.651613756613757	1.67598018797162	13.18
-54	-37.96667	0	1993-06-09	160	1993	9	6	2	"t1"	0.814074074074074	1.36590321059194	-1.02783068783069	1.81723127287333	-0.0846825396825397	1.527545500809	13.18
-54	-37.96667	0	1993-06-18	169	1993	18	6	3	"u1"	0.509603174603175	1.52581746623086	-1.29079365079365	2.02238242382157	-0.366269841269841	1.72784777463108	13.18
-54	-37.96667	0	1993-06-23	174	1993	23	6	6	"v1"	0.375502645502646	1.52437868762395	-1.4462962962963	2.0203492717548	-0.529285714285714	1.7323588334118	13.18
-33.49045	-70.88527	495	2005-10-11	284	2005	11	10	1	"w1"	21.8372222222222	4.30823398411601	7.08060846560847	3.06305596265871	13.9206613756614	3.27801685804606	1154.13
-33.49045	-70.88527	495	2005-10-12	285	2005	12	10	1	"x1"	21.987380952381	4.22723383011756	7.19915343915344	2.9961628551162	14.0707671957672	3.20753302556882	1154.13
-33.49045	-70.88527	495	2005-10-24	297	2005	24	10	3	"y1"	23.6536243386243	3.83306151390498	8.61534391534392	2.74618752138827	15.6765343915344	2.93514926712416	1154.13
-33.49045	-70.88527	495	2005-10-25	298	2005	25	10	7	"z1"	23.654708994709	3.86675136199144	8.61444444444444	2.81161230415838	15.698835978836	2.96008382553481	1154.13
-33.36115	-70.30525	2278	2005-10-22	295	2005	22	10	2	"a2"	8.34650793650794	3.62809731958975	-3.73410052910053	2.4494883048066	1.72867724867725	2.77616548451493	3232.94
-33.36115	-70.30525	2278	2005-10-23	296	2005	23	10	7	"b2"	8.55798941798942	3.62251252694111	-3.60912698412698	2.46354772748224	1.8897619047619	2.78545125068646	3232.94
-33.36025	-70.29162	2395	2005-10-22	295	2005	22	10	1	"c2"	8.34650793650794	3.62809731958975	-3.73410052910053	2.4494883048066	1.72867724867725	2.77616548451493	3232.94
-0.67827	-90.47451	864	1999-05-28	148	1999	28	5	3	"d2"	26.2206613756614	0.967882556744408	23.6160846560847	1.26217677038951	24.7490476190476	1.11834433462007	52.07
-0.64821	-91.11517	13.10643	1998-05-11	131	1998	11	5	11	"e2"	28.2107142857143	0.708990216928193	24.0298412698413	1.08229566222329	25.8288095238095	0.851155189878166	119.6
-0.64821	-91.11517	13.10643	1999-05-24	144	1999	24	5	9	"f2"	27.5093121693122	0.793611128813882	23.4035978835979	1.1140693049011	25.1599470899471	0.921510982333798	119.6
-0.38	-91.53	4.57201	1999-05-22	142	1999	22	5	9	"g2"	27.6254232804233	0.80110795670089	23.5189947089947	1.10915483630569	25.2720634920635	0.924607867955879	119.6
-0.38	-91.53	4.57201	1999-05-23	143	1999	23	5	4	"h2"	27.5642592592593	0.798049416764644	23.4624867724868	1.11084795965953	25.2148148148148	0.923309175189702	119.6
-0.26714	-91.46553	20.42164	1998-05-09	129	1998	9	5	5	"i2"	28.2951851851852	0.673011043609038	24.0941534391534	1.06892168960873	25.9109788359788	0.813593948852406	119.6
-0.26714	-91.46553	20.42164	1998-05-10	130	1998	10	5	15	"j2"	28.2539417989418	0.675027510431779	24.0613227513228	1.08002080074322	25.8708201058201	0.830838389273573	119.6
-0.17889	-90.64778	21.64084	1998-05-14	134	1998	14	5	1	"k2"	26.1062169312169	1.2532090269715	24.4553968253968	1.49902248473836	25.2231746031746	1.39607957188134	24.05
-0.17889	-90.64778	21.64084	1999-05-28	148	1999	28	5	8	"l2"	25.5400793650794	1.20717472470461	23.9242857142857	1.41899117706599	24.6735714285714	1.31889741605959	24.05
0.32196	-89.95523	12.19202	1998-05-07	127	1998	7	5	35	"m2"	25.0953174603175	1.71977946577111	24.5255291005291	1.73274451823225	24.8389417989418	1.72433570549672	0.78
0.32196	-89.95523	12.19202	1998-05-08	128	1998	8	5	17	"n2"	25.0874338624339	1.72254608516234	24.5197619047619	1.72893097908164	24.8310052910053	1.72483622256343	0.78
0.32196	-89.95523	12.19202	1999-05-20	140	1999	20	5	25	"o2"	24.815873015873	1.68935829945526	24.2642328042328	1.71562102768798	24.5651851851852	1.70216778390218	0.78
0.32196	-89.95523	12.19202	1999-05-21	141	1999	21	5	32	"p2"	24.797619047619	1.67971187464139	24.2429100529101	1.71119763460367	24.5455026455026	1.69422999144706	0.78
9.08143	-79.66948	78.33376	2002-08-07	219	2002	7	8	1	"q2"	28.399708994709	0.864716061690736	25.582619047619	0.584749390068341	26.8661375661376	0.629765568033481	81.48
9.08143	-79.66948	78.33376	2002-09-03	246	2002	3	9	2	"r2"	28.2522486772487	0.790598250167559	25.4750264550265	0.541496231805493	26.7438095238095	0.578661480929203	81.48
9.08143	-79.66948	78.33376	2002-09-05	248	2002	5	9	1	"s2"	28.2103174603175	0.814187788974724	25.4450264550265	0.558403488108462	26.7060317460317	0.603263115280075	81.48
9.08143	-79.66948	78.33376	2002-09-06	249	2002	6	9	4	"t2"	28.2197619047619	0.807915874253727	25.4326984126984	0.570473412271667	26.7020634920635	0.605867399934088	81.48
9.11661	-79.70074	36.88087	1989-07-03	184	1989	3	7	3	"u2"	28.3580158730159	0.877058642176419	24.8491005291005	0.686236602213279	26.3267989417989	0.651460767722943	92.24
9.11661	-79.70074	36.88087	1989-07-04	185	1989	4	7	2	"v2"	28.3266137566138	0.871028639143474	24.8293121693122	0.682749592266527	26.3090211640212	0.644044205426102	92.24
9.11661	-79.70074	36.88087	2002-08-08	220	2002	8	8	2	"w2"	28.173253968254	0.811999035715424	24.7325925925926	0.655946598192058	26.1777248677249	0.585079838543546	92.24
9.11661	-79.70074	36.88087	2002-08-09	221	2002	9	8	4	"x2"	28.1628306878307	0.823379319884735	24.7235185185185	0.648584707650689	26.1704497354497	0.585662071892581	92.24
9.11661	-79.70074	36.88087	2002-08-15	227	2002	15	8	1	"y2"	28.1718783068783	0.808881348251633	24.6706878306878	0.629649435460442	26.1623544973545	0.575750011367607	92.24
9.11661	-79.70074	36.88087	2002-08-25	237	2002	25	8	2	"z2"	28.2359259259259	0.834525113019225	24.66	0.607062326647778	26.1737037037037	0.564909830167318	92.24
9.11661	-79.70074	36.88087	2002-08-27	239	2002	27	8	4	"a3"	28.2582010582011	0.818772414753136	24.6691005291005	0.589729277861315	26.178253968254	0.549152343227036	92.24
9.11661	-79.70074	36.88087	2002-08-28	240	2002	28	8	1	"b3"	28.2421693121693	0.809749316357989	24.6577777777778	0.584734933562837	26.159126984127	0.540814818752586	92.24
9.11661	-79.70074	36.88087	2002-08-29	241	2002	29	8	2	"c3"	28.2651851851852	0.796481714864915	24.6440476190476	0.584867318474695	26.1601058201058	0.52826776569627	92.24
9.11661	-79.70074	36.88087	2002-09-01	244	2002	1	9	1	"d3"	28.2456084656085	0.803611394487344	24.6282010582011	0.571796407720586	26.1449470899471	0.529895262514717	92.24
9.11661	-79.70074	36.88087	2002-09-02	245	2002	2	9	3	"e3"	28.2581216931217	0.795626584236648	24.6331216931217	0.57624485567562	26.1504497354497	0.525239426382345	92.24
9.11661	-79.70074	36.88087	2002-09-05	248	2002	5	9	2	"f3"	28.2237301587302	0.808571849792192	24.6029365079365	0.603867378057196	26.1106084656085	0.555780236449514	92.24
9.11661	-79.70074	36.88087	2002-09-10	253	2002	10	9	1	"g3"	28.2115343915344	0.844158441846912	24.5649470899471	0.629766174749711	26.0905026455026	0.568905609772991	92.24
9.11661	-79.70074	36.88087	2002-09-11	254	2002	11	9	2	"h3"	28.2033597883598	0.840578039506595	24.5528042328042	0.633506990854988	26.0847883597884	0.568980737598423	92.24
